Fire,Housing_Raster,Household_ProjectRaster,IMR_ProjectRaster,CDR_ProjectRaster,PopD_ProjectRaster,Soci_Eco_ProjectRaster,Overall_ProjectRaster,Minority_ProjectRaster
1,0.156100005,0.190599993,5.594749928,1.686465979,30.88786316,0.255699992,0.125599995,0.078599997
1,0.5722,0.42750001,5.594749928,13.71218967,80.26726532,0.699100018,0.653199971,0.68900001
1,0.673900008,0.235799998,5.594749928,34.57249832,64.18732452,0.68870002,0.596000016,0.443699986
1,0.627200007,0.082500003,5.594749928,25.72187233,378.2295227,0.120099999,0.205300003,0.410699993
1,0.298200011,0.568499982,5.594749928,36.59629822,60.95363235,0.707700014,0.564400017,0.496100008
1,0.545599997,0.83829999,5.594749928,33.44818497,29.82729721,0.82889998,0.801199973,0.673600018
1,0.277999997,0.33860001,5.594749928,14.19816589,105.7202454,0.52670002,0.414099991,0.588199973
1,0.895399988,0.654799998,5.594749928,0,206.5397797,0.800999999,0.860700011,0.737800002
1,0.477100015,0.62529999,5.594749928,32.3463974,140.5648804,0.62470001,0.587000012,0.398799986
1,0.346700013,0.335999995,5.594749928,30.73441315,63.58010101,0.707799971,0.491899997,0.27759999
1,0.706099987,0.609499991,5.594749928,32.81091309,51.26015091,0.405800015,0.364199996,0.516499996
1,0.1074,0.0438,5.594749928,31.65951157,32.00144196,0.81129998,0.340600014,0.651300013
1,0.634899974,0.426099986,5.594749928,0,13.53822613,0.95660001,0.825100005,0.768999994
1,0.926599979,0.93870002,5.594749928,14.0187149,8.948775291,0.759800017,0.930899978,0.839399993
1,0.585099995,0.877200007,5.594749928,0,3.62565589,0.712700009,0.776899993,0.729399979
1,0.869300008,0.407200009,5.594749928,0,592.2029419,0.70480001,0.6954,0.217399999
1,0.242899999,0.442799985,5.594749928,20.55420685,164.6195831,0.569000006,0.409799993,0.356400013
1,0.926500022,0.274500012,5.594749928,33.94011307,56.03822327,0.885800004,0.862999976,0.881500006
1,0.843400002,0.067599997,5.594749928,39.80847931,118.9691238,0.741100013,0.623700023,0.513300002
1,0.806299984,0.681400001,5.594749928,23.07386589,21.79415131,0.835900009,0.827700019,0.556999981
1,0.205300003,0.374799997,5.594749928,0,0.806817234,0.669799984,0.443699986,0.455300003
1,0.663500011,0.187900007,5.594749928,23.61052132,71.59607697,0.493900001,0.449800014,0.287299991
1,0.353399992,0.311699986,5.594749928,0,5.690607548,0.640699983,0.424600005,0.122299999
1,0.49059999,0.922100008,5.594749928,15.97175407,71.00491333,0.283499986,0.493400007,0.224600002
1,0.96420002,0.425000012,5.594749928,0,1.844205856,0.883300006,0.875400007,0.547999978
1,0.508899987,0.441399992,5.594749928,0,8.009347916,0.743600011,0.632000029,0.504199982
1,0.926500022,0.274500012,5.594749928,0,1.779031157,0.885800004,0.862999976,0.881500006
1,0.278899997,0.828299999,5.594749928,36.59629822,437.8898621,0.644200027,0.609700024,0.593999982
1,0.256999999,0.515200019,5.594749928,14.11497593,61.67525101,0.635900021,0.452499986,0.2403
1,0.783399999,0.616299987,5.594749928,23.84660339,213.5353699,0.848100007,0.749899983,0.598800004
